ppm,x=0.4 xPbO.(1-x)B2O3
6970.8006, 0.000000
6970.4361, 0.000000
6970.0716, 0.000000
6969.7070, 0.000000
6969.3425, 0.000000
6968.9780, 0.000000
6968.6134, 0.000000
6968.2489, 0.000000
6967.8843, 0.000000
6967.5198, 0.000000
6967.1553, 0.000000
6966.7907, 0.000000
6966.4262, 0.000000
6966.0617, 0.000000
6965.6971, 0.000000
6965.3326, 0.000000
6964.9680, 0.000000
6964.6035, 0.000000
6964.2390, 0.000000
6963.8744, 0.000000
6963.5099, 0.000000
6963.1454, 0.000000
6962.7808, 0.000000
6962.4163, 0.000000
6962.0517, 0.000000
6961.6872, 0.000000
6961.3227, 0.000000
6960.9581, 0.000000
6960.5936, 0.000000
6960.2291, 0.000000
6959.8645, 0.000000
6959.5000, 0.000000
6959.1354, 0.000000
6958.7709, 0.000000
6958.4064, 0.000000
6958.0418, 0.000000
6957.6773, 0.000000
6957.3128, 0.000000
6956.9482, 0.000000
6956.5837, 0.000000
6956.2191, 0.000000
6955.8546, 0.000000
6955.4901, 0.000000
6955.1255, 0.000000
6954.7610, 0.000000
6954.3965, 0.000000
6954.0319, 0.000000
6953.6674, 0.000000
6953.3028, 0.000000
6952.9383, 0.000000
6952.5738, 0.000000
6952.2092, 0.000000
6951.8447, 0.000000
6951.4802, 0.000000
6951.1156, 0.000000
6950.7511, 0.000000
6950.3865, 0.000000
6950.0220, 0.000000
6949.6575, 0.000000
6949.2929, 0.000000
6948.9284, 0.000000
6948.5639, 0.000000
6948.1993, 0.000000
6947.8348, 0.000000
6947.4702, 0.000000
6947.1057, 0.000000
6946.7412, 0.000000
6946.3766, 0.000000
6946.0121, 0.000000
6945.6476, 0.000000
6945.2830, 0.000000
6944.9185, 0.000000
6944.5539, 0.000000
6944.1894, 0.000000
6943.8249, 0.000000
6943.4603, 0.000000
6943.0958, 0.000000
6942.7312, 0.000000
6942.3667, 0.000000
6942.0022, 0.000000
6941.6376, 0.000000
6941.2731, 0.000000
6940.9086, 0.000000
6940.5440, 0.000000
6940.1795, 0.000000
6939.8149, 0.000000
6939.4504, 0.000000
6939.0859, 0.000000
6938.7213, 0.000000
6938.3568, 0.000000
6937.9923, 0.000000
6937.6277, 0.000000
6937.2632, 0.000000
6936.8986, 0.000000
6936.5341, 0.000000
6936.1696, 0.000000
6935.8050, 0.000000
6935.4405, 0.000000
6935.0760, 0.000000
6934.7114, 0.000000
6934.3469, 0.000000
6933.9823, 0.000000
6933.6178, 0.000000
6933.2533, 0.000000
6932.8887, 0.000000
6932.5242, 0.000000
6932.1597, 0.000000
6931.7951, 0.000000
6931.4306, 0.000000
6931.0660, 0.000000
6930.7015, 0.000000
6930.3370, 0.000000
6929.9724, 0.000000
6929.6079, 0.000000
6929.2434, 0.000000
6928.8788, 0.000000
6928.5143, 0.000000
6928.1497, 0.000000
6927.7852, 0.000000
6927.4207, 0.000000
6927.0561, 0.000000
6926.6916, 0.000000
6926.3271, 0.000000
6925.9625, 0.000000
6925.5980, 0.000000
6925.2334, 0.000000
6924.8689, 0.000000
6924.5044, 0.000000
6924.1398, 0.000000
6923.7753, 0.000000
6923.4108, 0.000000
6923.0462, 0.000000
6922.6817, 0.000000
6922.3171, 0.000000
6921.9526, 0.000000
6921.5881, 0.000000
6921.2235, 0.000000
6920.8590, 0.000000
6920.4945, 0.000000
6920.1299, 0.000000
6919.7654, 0.000000
6919.4008, 0.000000
6919.0363, 0.000000
6918.6718, 0.000000
6918.3072, 0.000000
6917.9427, 0.000000
6917.5782, 0.000000
6917.2136, 0.000000
6916.8491, 0.000000
6916.4845, 0.000000
6916.1200, 0.000000
6915.7555, 0.000000
6915.3909, 0.000000
6915.0264, 0.000000
6914.6619, 0.000000
6914.2973, 0.000000
6913.9328, 0.000000
6913.5682, 0.000000
6913.2037, 0.000000
6912.8392, 0.000000
6912.4746, 0.000000
6912.1101, 0.000000
6911.7456, 0.000000
6911.3810, 0.000000
6911.0165, 0.000000
6910.6519, 0.000000
6910.2874, 0.000000
6909.9229, 0.000000
6909.5583, 0.000000
6909.1938, 0.000000
6908.8293, 0.000000
6908.4647, 0.000000
6908.1002, 0.000000
6907.7356, 0.000000
6907.3711, 0.000000
6907.0066, 0.000000
6906.6420, 0.000000
6906.2775, 0.000000
6905.9130, 0.000000
6905.5484, 0.000000
6905.1839, 0.000000
6904.8193, 0.000000
6904.4548, 0.000000
6904.0903, 0.000000
6903.7257, 0.000000
6903.3612, 0.000000
6902.9967, 0.000000
6902.6321, 0.000000
6902.2676, 0.000000
6901.9030, 0.000000
6901.5385, 0.000000
6901.1740, 0.000000
6900.8094, 0.000000
6900.4449, 0.000000
6900.0804, 0.000000
6899.7158, 0.000000
6899.3513, 0.000000
6898.9867, 0.000000
6898.6222, 0.000000
6898.2577, 0.000000
6897.8931, 0.000000
6897.5286, 0.000000
6897.1641, 0.000000
6896.7995, 0.000000
6896.4350, 0.000000
6896.0704, 0.000000
6895.7059, 0.000000
6895.3414, 0.000000
6894.9768, 0.000000
6894.6123, 0.000000
6894.2478, 0.000000
6893.8832, 0.000000
6893.5187, 0.000000
6893.1541, 0.000000
6892.7896, 0.000000
6892.4251, 0.000000
6892.0605, 0.000000
6891.6960, 0.000000
6891.3315, 0.000000
6890.9669, 0.000000
6890.6024, 0.000000
6890.2378, 0.000000
6889.8733, 0.000000
6889.5088, 0.000000
6889.1442, 0.000000
6888.7797, 0.000000
6888.4152, 0.000000
6888.0506, 0.000000
6887.6861, 0.000000
6887.3215, 0.000000
6886.9570, 0.000000
6886.5925, 0.000000
6886.2279, 0.000000
6885.8634, 0.000000
6885.4989, 0.000000
6885.1343, 0.000000
6884.7698, 0.000000
6884.4052, 0.000000
6884.0407, 0.000000
6883.6762, 0.000000
6883.3116, 0.000000
6882.9471, 0.000000
6882.5826, 0.000000
6882.2180, 0.000000
6881.8535, 0.000000
6881.4889, 0.000000
6881.1244, 0.000000
6880.7599, 0.000000
6880.3953, 0.000000
6880.0308, 0.000000
6879.6663, 0.000000
6879.3017, 0.000000
6878.9372, 0.000000
6878.5726, 0.000000
6878.2081, 0.000000
6877.8436, 0.000000
6877.4790, 0.000000
6877.1145, 0.000000
6876.7500, 0.000000
6876.3854, 0.000000
6876.0209, 0.000000
6875.6563, 0.000000
6875.2918, 0.000000
6874.9273, 0.000000
6874.5627, 0.000000
6874.1982, 0.000000
6873.8337, 0.000000
6873.4691, 0.000000
6873.1046, 0.000000
6872.7400, 0.000000
6872.3755, 0.000000
6872.0110, 0.000000
6871.6464, 0.000000
6871.2819, 0.000000
6870.9174, 0.000000
6870.5528, 0.000000
6870.1883, 0.000000
6869.8237, 0.000000
6869.4592, 0.000000
6869.0947, 0.000000
6868.7301, 0.000000
6868.3656, 0.000000
6868.0011, 0.000000
6867.6365, 0.000000
6867.2720, 0.000000
6866.9074, 0.000000
6866.5429, 0.000000
6866.1784, 0.000000
6865.8138, 0.000000
6865.4493, 0.000000
6865.0848, 0.000000
6864.7202, 0.000000
6864.3557, 0.000000
6863.9911, 0.000000
6863.6266, 0.000000
6863.2621, 0.000000
6862.8975, 0.000000
6862.5330, 0.000000
6862.1685, 0.000000
6861.8039, 0.000000
6861.4394, 0.000000
6861.0748, 0.000000
6860.7103, 0.000000
6860.3458, 0.000000
6859.9812, 0.000000
6859.6167, 0.000000
6859.2521, 0.000000
6858.8876, 0.000000
6858.5231, 0.000000
6858.1585, 0.000000
6857.7940, 0.000000
6857.4295, 0.000000
6857.0649, 0.000000
6856.7004, 0.000000
6856.3358, 0.000000
6855.9713, 0.000000
6855.6068, 0.000000
6855.2422, 0.000000
6854.8777, 0.000000
6854.5132, 0.000000
6854.1486, 0.000000
6853.7841, 0.000000
6853.4195, 0.000000
6853.0550, 0.000000
6852.6905, 0.000000
6852.3259, 0.000000
6851.9614, 0.000000
6851.5969, 0.000000
6851.2323, 0.000000
6850.8678, 0.000000
6850.5032, 0.000000
6850.1387, 0.000000
6849.7742, 0.000000
6849.4096, 0.000000
6849.0451, 0.000000
6848.6806, 0.000000
6848.3160, 0.000000
6847.9515, 0.000000
6847.5869, 0.000000
6847.2224, 0.000000
6846.8579, 0.000000
6846.4933, 0.000000
6846.1288, 0.000000
6845.7643, 0.000000
6845.3997, 0.000000
6845.0352, 0.000000
6844.6706, 0.000000
6844.3061, 0.000000
6843.9416, 0.000000
6843.5770, 0.000000
6843.2125, 0.000000
6842.8480, 0.000000
6842.4834, 0.000000
6842.1189, 0.000000
6841.7543, 0.000000
6841.3898, 0.000000
6841.0253, 0.000000
6840.6607, 0.000000
6840.2962, 0.000000
6839.9317, 0.000000
6839.5671, 0.000000
6839.2026, 0.000000
6838.8380, 0.000000
6838.4735, 0.000000
6838.1090, 0.000000
6837.7444, 0.000000
6837.3799, 0.000000
6837.0154, 0.000000
6836.6508, 0.000000
6836.2863, 0.000000
6835.9217, 0.000000
6835.5572, 0.000000
6835.1927, 0.000000
6834.8281, 0.000000
6834.4636, 0.000000
6834.0991, 0.000000
6833.7345, 0.000000
6833.3700, 0.000000
6833.0054, 0.000000
6832.6409, 0.000000
6832.2764, 0.000000
6831.9118, 0.000000
6831.5473, 0.000000
6831.1828, 0.000000
6830.8182, 0.000000
6830.4537, 0.000000
6830.0891, 0.000000
6829.7246, 0.000000
6829.3601, 0.000000
6828.9955, 0.000000
6828.6310, 0.000000
6828.2665, 0.000000
6827.9019, 0.000000
6827.5374, 0.000000
6827.1728, 0.000000
6826.8083, 0.000000
6826.4438, 0.000000
6826.0792, 0.000000
6825.7147, 0.000000
6825.3502, 0.000000
6824.9856, 0.000000
6824.6211, 0.000000
6824.2565, 0.000000
6823.8920, 0.000000
6823.5275, 0.000000
6823.1629, 0.000000
6822.7984, 0.000000
6822.4339, 0.000000
6822.0693, 0.000000
6821.7048, 0.000000
6821.3402, 0.000000
6820.9757, 0.000000
6820.6112, 0.000000
6820.2466, 0.000000
6819.8821, 0.000000
6819.5176, 0.000000
6819.1530, 0.000000
6818.7885, 0.000000
6818.4239, 0.000000
6818.0594, 0.000000
6817.6949, 0.000000
6817.3303, 0.000000
6816.9658, 0.000000
6816.6013, 0.000000
6816.2367, 0.000000
6815.8722, 0.000000
6815.5076, 0.000000
6815.1431, 0.000000
6814.7786, 0.000000
6814.4140, 0.000000
6814.0495, 0.000000
6813.6850, 0.000000
6813.3204, 0.000000
6812.9559, 0.000000
6812.5913, 0.000000
6812.2268, 0.000000
6811.8623, 0.000000
6811.4977, 0.000000
6811.1332, 0.000000
6810.7687, 0.000000
6810.4041, 0.000000
6810.0396, 0.000000
6809.6750, 0.000000
6809.3105, 0.000000
6808.9460, 0.000000
6808.5814, 0.000000
6808.2169, 0.000000
6807.8524, 0.000000
6807.4878, 0.000000
6807.1233, 0.000000
6806.7587, 0.000000
6806.3942, 0.000000
6806.0297, 0.000000
6805.6651, 0.000000
6805.3006, 0.000000
6804.9361, 0.000000
6804.5715, 0.000000
6804.2070, 0.000000
6803.8424, 0.000000
6803.4779, 0.000000
6803.1134, 0.000000
6802.7488, 0.000000
6802.3843, 0.000000
6802.0198, 0.000000
6801.6552, 0.000000
6801.2907, 0.000000
6800.9261, 0.000000
6800.5616, 0.000000
6800.1971, 0.000000
6799.8325, 0.000000
6799.4680, 0.000000
6799.1035, 0.000000
6798.7389, 0.000000
6798.3744, 0.000000
6798.0098, 0.000000
6797.6453, 0.000000
6797.2808, 0.000000
6796.9162, 0.000000
6796.5517, 0.000000
6796.1872, 0.000000
6795.8226, 0.000000
6795.4581, 0.000000
6795.0935, 0.000000
6794.7290, 0.000000
6794.3645, 0.000000
6793.9999, 0.000000
6793.6354, 0.000000
6793.2709, 0.000000
6792.9063, 0.000000
6792.5418, 0.000000
6792.1772, 0.000000
6791.8127, 0.000000
6791.4482, 0.000000
6791.0836, 0.000000
6790.7191, 0.000000
6790.3546, 0.000000
6789.9900, 0.000000
6789.6255, 0.000000
6789.2609, 0.000000
6788.8964, 0.000000
6788.5319, 0.000000
6788.1673, 0.000000
6787.8028, 0.000000
6787.4383, 0.000000
6787.0737, 0.000000
6786.7092, 0.000000
6786.3446, 0.000000
6785.9801, 0.000000
6785.6156, 0.000000
6785.2510, 0.000000
6784.8865, 0.000000
6784.5220, 0.000000
6784.1574, 0.000000
6783.7929, 0.000000
6783.4283, 0.000000
6783.0638, 0.000000
6782.6993, 0.000000
6782.3347, 0.000000
6781.9702, 0.000000
6781.6057, 0.000000
6781.2411, 0.000000
6780.8766, 0.000000
6780.5120, 0.000000
6780.1475, 0.000000
6779.7830, 0.000000
6779.4184, 0.000000
6779.0539, 0.000000
6778.6894, 0.000000
6778.3248, 0.000000
6777.9603, 0.000000
6777.5957, 0.000000
6777.2312, 0.000000
6776.8667, 0.000000
6776.5021, 0.000000
6776.1376, 0.000000
6775.7730, 0.000000
6775.4085, 0.000000
6775.0440, 0.000000
6774.6794, 0.000000
6774.3149, 0.000000
6773.9504, 0.000000
6773.5858, 0.000000
6773.2213, 0.000000
6772.8567, 0.000000
6772.4922, 0.000000
6772.1277, 0.000000
6771.7631, 0.000000
6771.3986, 0.000000
6771.0341, 0.000000
6770.6695, 0.000000
6770.3050, 0.000000
6769.9404, 0.000000
6769.5759, 0.000000
6769.2114, 0.000000
6768.8468, 0.000000
6768.4823, 0.000000
6768.1178, 0.000000
6767.7532, 0.000000
6767.3887, 0.000000
6767.0241, 0.000000
6766.6596, 0.000000
6766.2951, 0.000000
6765.9305, 0.000000
6765.5660, 0.000000
6765.2015, 0.000000
6764.8369, 0.000000
6764.4724, 0.000000
6764.1078, 0.000000
6763.7433, 0.000000
6763.3788, 0.000000
6763.0142, 0.000000
6762.6497, 0.000000
6762.2852, 0.000000
6761.9206, 0.000000
6761.5561, 0.000000
6761.1915, 0.000000
6760.8270, 0.000000
6760.4625, 0.000000
6760.0979, 0.000000
6759.7334, 0.000000
6759.3689, 0.000000
6759.0043, 0.000000
6758.6398, 0.000000
6758.2752, 0.000000
6757.9107, 0.000000
6757.5462, 0.000000
6757.1816, 0.000000
6756.8171, 0.000000
6756.4526, 0.000000
6756.0880, 0.000000
6755.7235, 0.000000
6755.3589, 0.000000
6754.9944, 0.000000
6754.6299, 0.000000
6754.2653, 0.000000
6753.9008, 0.000000
6753.5363, 0.000000
6753.1717, 0.000000
6752.8072, 0.000000
6752.4426, 0.000000
6752.0781, 0.000000
6751.7136, 0.000000
6751.3490, 0.000000
6750.9845, 0.000000
6750.6200, 0.000000
6750.2554, 0.000000
6749.8909, 0.000000
6749.5263, 0.000000
6749.1618, 0.000000
6748.7973, 0.000000
6748.4327, 0.000000
6748.0682, 0.000000
6747.7037, 0.000000
6747.3391, 0.000000
6746.9746, 0.000000
6746.6100, 0.000000
6746.2455, 0.000000
6745.8810, 0.000000
6745.5164, 0.000000
6745.1519, 0.000000
6744.7874, 0.000000
6744.4228, 0.000000
6744.0583, 0.000000
6743.6937, 0.000000
6743.3292, 0.000000
6742.9647, 0.000000
6742.6001, 0.000000
6742.2356, 0.000000
6741.8711, 0.000000
6741.5065, 0.000000
6741.1420, 0.000000
6740.7774, 0.000000
6740.4129, 0.000000
6740.0484, 0.000000
6739.6838, 0.000000
6739.3193, 0.000000
6738.9548, 0.000000
6738.5902, 0.000000
6738.2257, 0.000000
6737.8611, 0.000000
6737.4966, 0.000000
6737.1321, 0.000000
6736.7675, 0.000000
6736.4030, 0.000000
6736.0385, 0.000000
6735.6739, 0.000000
6735.3094, 0.000000
6734.9448, 0.000000
6734.5803, 0.000000
6734.2158, 0.000000
6733.8512, 0.000000
6733.4867, 0.000000
6733.1222, 0.000000
6732.7576, 0.000000
6732.3931, 0.000000
6732.0285, 0.000000
6731.6640, 0.000000
6731.2995, 0.000000
6730.9349, 0.000000
6730.5704, 0.000000
6730.2059, 0.000000
6729.8413, 0.000000
6729.4768, 0.000000
6729.1122, 0.000000
6728.7477, 0.000000
6728.3832, 0.000000
6728.0186, 0.000000
6727.6541, 0.000000
6727.2896, 0.000000
6726.9250, 0.000000
6726.5605, 0.000000
6726.1959, 0.000000
6725.8314, 0.000000
6725.4669, 0.000000
6725.1023, 0.000000
6724.7378, 0.000000
6724.3733, 0.000000
6724.0087, 0.000000
6723.6442, 0.000000
6723.2796, 0.000000
6722.9151, 0.000000
6722.5506, 0.000000
6722.1860, 0.000000
6721.8215, 0.000000
6721.4570, 0.000000
6721.0924, 0.000000
6720.7279, 0.000000
6720.3633, 0.000000
6719.9988, 0.000000
6719.6343, 0.000000
6719.2697, 0.000000
6718.9052, 0.000000
6718.5407, 0.000000
6718.1761, 0.000000
6717.8116, 0.000000
6717.4470, 0.000000
6717.0825, 0.000000
6716.7180, 0.000000
6716.3534, 0.000000
6715.9889, 0.000000
6715.6244, 0.000000
6715.2598, 0.000000
6714.8953, 0.000000
6714.5307, 0.000000
6714.1662, 0.000000
6713.8017, 0.000000
6713.4371, 0.000000
6713.0726, 0.000000
6712.7081, 0.000000
6712.3435, 0.000000
6711.9790, 0.000000
6711.6144, 0.000000
6711.2499, 0.000000
6710.8854, 0.000000
6710.5208, 0.000000
6710.1563, 0.000000
6709.7918, 0.000000
6709.4272, 0.000000
6709.0627, 0.000000
6708.6981, 0.000000
6708.3336, 0.000000
6707.9691, 0.000000
6707.6045, 0.000000
6707.2400, 0.000000
6706.8755, 0.000000
6706.5109, 0.000000
6706.1464, 0.000000
6705.7818, 0.000000
6705.4173, 0.000000
6705.0528, 0.000000
6704.6882, 0.000000
6704.3237, 0.000000
6703.9592, 0.000000
6703.5946, 0.000000
6703.2301, 0.000000
6702.8655, 0.000000
6702.5010, 0.000000
6702.1365, 0.000000
6701.7719, 0.000000
6701.4074, 0.000000
6701.0429, 0.000000
6700.6783, 0.000000
6700.3138, 0.000000
6699.9492, 0.000000
6699.5847, 0.000000
6699.2202, 0.000000
6698.8556, 0.000000
6698.4911, 0.000000
6698.1266, 0.000000
6697.7620, 0.000000
6697.3975, 0.000000
6697.0329, 0.000000
6696.6684, 0.000000
6696.3039, 0.000000
6695.9393, 0.000000
6695.5748, 0.000000
6695.2103, 0.000000
6694.8457, 0.000000
6694.4812, 0.000000
6694.1166, 0.000000
6693.7521, 0.000000
6693.3876, 0.000000
6693.0230, 0.000000
6692.6585, 0.000000
6692.2940, 0.000000
6691.9294, 0.000000
6691.5649, 0.000000
6691.2003, 0.000000
6690.8358, 0.000000
6690.4713, 0.000000
6690.1067, 0.000000
6689.7422, 0.000000
6689.3776, 0.000000
6689.0131, 0.000000
6688.6486, 0.000000
6688.2840, 0.000000
